"Checklist ID","Màn hình","IA","Phân loại","Thành phần","Mục kiểm tra","Đặc tả / Nguồn","Kết quả mong đợi","Nguồn gốc","Trạng thái","Kết quả thực tế","Ghi chú","Bằng chứng"
"GUI-FORGOT-IA04-01","Quên Mật Khẩu","IA-04","Phản hồi","Hiển thị OTP","Sau khi gửi email hợp lệ ở Bước 1, mã OTP được hiển thị trên màn hình (chế độ demo)","FR-03, FR-24","Banner xanh lá hoặc thông báo hiển thị giá trị OTP trên trang (không chỉ qua email)","AI","Pass","Mã OTP hiển thị rõ ràng trên banner thông báo xanh lá (chế độ demo)","",""
"GUI-FORGOT-IA04-02","Quên Mật Khẩu","IA-04","Trạng thái","Chuyển bước","Sau khi yêu cầu OTP thành công, giao diện chuyển từ form Bước 1 sang form Bước 2","FR-03, FR-24","Form Bước 1 được ẩn; form Bước 2 (OTP + mật khẩu mới) hiển thị","AI","Pass","Form chuyển thành công từ Bước 1 sang Bước 2","",""
"GUI-FORGOT-IA04-03","Quên Mật Khẩu","IA-04","Phản hồi","Chuyển hướng thành công","Sau khi đổi mật khẩu thành công, người dùng được chuyển đến trang Đăng nhập kèm thông báo thành công","FR-03","Điều hướng chuyển đến /login; có thông báo thành công (toast, banner, hoặc alert)","AI","Fail","URL hiện tại: http://localhost:5173/forgot-password","Không chuyển hướng về /login sau khi đổi mật khẩu thành công","[Bằng chứng](Evidences/GUI-FORGOT-IA04-03.png)"
"GUI-FORGOT-IA04-04","Quên Mật Khẩu","IA-04","Phản hồi","Thông báo lỗi","Khi gửi email chưa đăng ký hoặc OTP sai, thông báo lỗi rõ ràng hiển thị trên giao diện (không chỉ dùng window.alert)","FR-24, heuristic","Lỗi hiển thị trong giao diện trang, không phải hộp thoại alert gốc của trình duyệt","AI","Fail","Hiển thị alert gốc: ""Lỗi: User not found""","Hệ thống sử dụng hộp thoại window.alert gốc của trình duyệt để hiển thị thông báo lỗi thay vì banner giao diện","[Bằng chứng](Evidences/GUI-FORGOT-IA04-04.png)"
"GUI-FORGOT-IA04-05","Quên Mật Khẩu","IA-04","Trạng thái","Xóa trường mật khẩu","Sau khi đổi mật khẩu thành công, các trường mật khẩu và OTP được xóa sạch hoặc trang chuyển đi","FR-24, FR-03","Không còn dữ liệu nhạy cảm (OTP, mật khẩu) hiển thị trên màn hình sau khi thành công","AI","Fail","Vẫn ở trang đổi mật khẩu","Dữ liệu nhạy cảm chưa được xóa","[Bằng chứng](Evidences/GUI-FORGOT-IA04-05.png)"
"GUI-ORDERS-IA01-01","Quản lý Đơn hàng","IA-01","Hiển thị","Tiêu đề phần","""Quản lý Đơn hàng"" hiển thị rõ ràng và không phải <h1> trùng lặp (chỉ sidebar <h1> tồn tại)","FR-21","Đúng một <h1> (""EShop Admin"") tồn tại; tiêu đề phần dùng <h2>","AI","Pass","Chỉ có 1 thẻ <h1> (""EShop Admin"") ở sidebar; tiêu đề phần sử dụng <h2> (""Quản lý Đơn hàng"")","",""
"GUI-ORDERS-IA01-02","Quản lý Đơn hàng","IA-01","Hiển thị","Định dạng tiền tệ","Cột tổng tiền hiển thị giá với phân cách hàng nghìn và ký hiệu ₫","FR-21","Các giá trị như ""1.500.000 ₫"" có dấu phân cách và ký hiệu đồng","AI","Pass","Cột tổng tiền hiển thị giá có phân cách hàng nghìn và ký hiệu ₫ (30,000,000 ₫)","",""
"GUI-ORDERS-IA01-03","Quản lý Đơn hàng","IA-01","Hiển thị","Nhãn trạng thái tiếng Việt","Badge trạng thái đơn hàng hiển thị tiếng Việt: ""Chờ xác nhận"", ""Đã xác nhận"", ""Đang giao"", ""Đã giao"", ""Đã hủy""","FR-21, FR-11","Mỗi trạng thái hiển thị đúng nhãn tiếng Việt; không hiện tên tiếng Anh","AI","Pass","Badge trạng thái hiển thị đúng tiếng Việt (Đã giao, Đã giao, Đang giao, Đã xác nhận, Chờ xác nhận)","",""
"GUI-ORDERS-IA01-04","Quản lý Đơn hàng","IA-01","Trợ năng","Cấu trúc bảng","Bảng đơn hàng sử dụng đúng cấu trúc <table>, <thead>, <tbody> với ô tiêu đề trong <th>","FR-21, heuristic","Kiểm tra DOM xác nhận dùng đúng thẻ bảng ngữ nghĩa; trình đọc màn hình nhận diện được tiêu đề cột","AI","Pass","Bảng đơn hàng sử dụng cấu trúc ngữ nghĩa <table>, <thead>, <tbody>, <th>","",""
"GUI-ORDERS-IA01-05","Quản lý Đơn hàng","IA-01","Bảo mật","Hiển thị địa chỉ giao hàng","Địa chỉ giao hàng hiển thị dưới dạng văn bản thuần đã escape, không render HTML thô","FR-18, SEC-04","Khi chèn thẻ <script> hoặc <b> vào địa chỉ, chúng hiển thị dạng văn bản thuần, không thực thi/render HTML","AI","Fail","Cột địa chỉ chèn trực tiếp qua dangerouslySetInnerHTML: ""<b>123 XSS St</b><script>alert(1)</script>""","Cột địa chỉ giao hàng sử dụng dangerouslySetInnerHTML render HTML thô gây nguy cơ lỗ hổng XSS","[Bằng chứng](Evidences/GUI-ORDERS-IA01-05.png)"
"GUI-ORDERS-IA02-01","Quản lý Đơn hàng","IA-02","Biểu mẫu","Nút hành động là phần tử form","Các nút thay đổi trạng thái là thẻ <button> thực sự (không phải <div> hoặc <span>) để hỗ trợ bàn phím","FR-22, heuristic","Kiểm tra nút hành động xác nhận là thẻ <button>; có thể focus và kích hoạt bằng phím Enter","AI","Pass","Các nút hành động chuyển trạng thái đều là thẻ <button> chuẩn HTML","",""
"GUI-ORDERS-IA02-02","Quản lý Đơn hàng","IA-02","Biểu mẫu","Trạng thái vô hiệu cho đơn kết thúc","Đơn hàng ở trạng thái kết thúc ""Đã giao"" hoặc ""Đã hủy"" không hiển thị nút thay đổi trạng thái","FR-10, FR-22","Không có nút ""Xác nhận"", ""Giao hàng"", ""Hoàn thành"", hoặc ""Hủy"" cho đơn đã giao/đã hủy","AI","Pass","Đơn hàng kết thúc không hiển thị nút hành động","",""
"GUI-ORDERS-IA03-01","Quản lý Đơn hàng","IA-03","Điều hướng","Tab sidebar đang chọn","Mục ""Đơn hàng"" trên sidebar được highlight (ví dụ: màu chữ khác) khi tab đơn hàng đang hoạt động","FR-23","Mục ""Đơn hàng"" có kiểu dáng riêng biệt (ví dụ: text-blue-400) so với các mục sidebar khác","AI","Pass","Mục ""Đơn hàng"" trên sidebar được highlight (text-blue-400) khi tab active","",""
"GUI-ORDERS-IA03-02","Quản lý Đơn hàng","IA-03","Điều hướng","Nhãn đăng xuất","Mục đăng xuất trên sidebar có nhãn ""Đăng xuất"" (không phải ""Thoát"" hay tiếng Anh ""Logout"")","FR-23","Nhãn đăng xuất ghi ""Đăng xuất"" trên sidebar","AI","Pass","Mục đăng xuất trên sidebar có nhãn chính xác ""Đăng xuất""","",""
"GUI-ORDERS-IA03-03","Quản lý Đơn hàng","IA-03","Điều hướng","Chuyển tab","Nhấn bất kỳ mục sidebar nào khác (Dashboard, Danh mục, Sản phẩm, v.v.) sẽ chuyển khỏi trang đơn hàng mà không mất dữ liệu hoặc lỗi","FR-23, heuristic","Vùng nội dung cập nhật sang tab đã chọn; không có lỗi console; quay lại đơn hàng hiển thị dữ liệu mới","AI","Pass","Chuyển tab mượt mà sang Dashboard và quay lại tab Đơn hàng đầy đủ dữ liệu","",""
"GUI-ORDERS-IA03-04","Quản lý Đơn hàng","IA-03","Điều hướng","Deep link / URL","Tải trực tiếp URL hoặc làm mới trang khi đang ở tab đơn hàng vẫn giữ nguyên giao diện (hoặc hiện form đăng nhập nếu hết phiên)","FR-23, thành phần","Sau khi làm mới trình duyệt, nội dung tab đơn hàng hiển thị (hoặc form đăng nhập admin nếu token hết hạn)","AI","Pass","Làm mới trang giữ nguyên phiên làm việc và giao diện Admin","",""
"GUI-ORDERS-IA04-01","Quản lý Đơn hàng","IA-04","Trạng thái","Chỉ báo đang tải","Trong khi đang lấy dữ liệu đơn hàng từ API, hiển thị spinner hoặc skeleton loading","FR-24","Có chỉ báo loading trực quan giữa lúc render trang và hiển thị dữ liệu; bảng không bị chớp từ trống sang có dữ liệu","AI","Fail","Không có spinner hoặc skeleton loading khi đang tải dữ liệu đơn hàng","Thiếu chỉ báo loading (spinner/skeleton) trong quá trình tải dữ liệu đơn hàng từ API","[Bằng chứng](Evidences/GUI-ORDERS-IA04-01.png)"
"GUI-ORDERS-IA04-02","Quản lý Đơn hàng","IA-04","Trạng thái","Trạng thái trống","Khi không có đơn hàng nào, hiển thị thông báo trạng thái trống (và tùy chọn hình minh họa) thay vì bảng rỗng","FR-24","Thông báo như ""Chưa có đơn hàng"" xuất hiện; chỉ hiện header bảng trống không có dòng nào là không chấp nhận được","AI","Fail","Giao diện không có container thông báo ""Chưa có đơn hàng"" khi danh sách trống","Thiếu container thông báo trạng thái trống ""Chưa có đơn hàng"" khi không có đơn hàng nào","[Bằng chứng](Evidences/GUI-ORDERS-IA04-02.png)"
"GUI-ORDERS-IA04-03","Quản lý Đơn hàng","IA-04","Phản hồi","Phân biệt màu trạng thái","Mỗi badge trạng thái đơn hàng sử dụng màu riêng biệt, phù hợp ngữ nghĩa (ví dụ: đỏ cho đã hủy, xanh lá cho đã giao)","FR-24, FR-11","pending = vàng, confirmed = tím/xanh dương, shipping = xanh dương, delivered = xanh lá, canceled = đỏ","AI","Pass","Mỗi badge trạng thái đơn hàng sử dụng màu sắc phân biệt phù hợp ngữ nghĩa (vàng, tím, xanh, đỏ)","",""
"GUI-ORDERS-IA04-04","Quản lý Đơn hàng","IA-04","Phản hồi","Chặn chuyển Đã hủy → Đã giao","Đơn hàng ở trạng thái ""Đã hủy"" (canceled) KHÔNG hiển thị nút ""Đánh dấu Đã giao"" — đã hủy là trạng thái kết thúc","FR-10, FR-24","Không có nút hành động nào hiển thị cho đơn đã hủy; không thể thực hiện chuyển trạng thái qua giao diện","AI","Pass","Không cho phép chuyển trạng thái từ Đã hủy sang Đã giao","",""
"GUI-ORDERS-IA04-05","Quản lý Đơn hàng","IA-04","Phản hồi","Xác nhận trước khi chuyển trạng thái","Nhấn nút thay đổi trạng thái (ví dụ: ""Hủy"", ""Hoàn thành"") hiển thị hộp thoại xác nhận trước khi thực hiện","FR-10, FR-24","Hộp thoại xác nhận xuất hiện với trạng thái đích; hành động chỉ được thực hiện sau khi người dùng xác nhận","AI","Fail","Trạng thái thay đổi lập tức mà không có hộp thoại xác nhận","Thực hiện chuyển trạng thái ngay lập tức khi click nút mà không hiển thị hộp thoại xác nhận (window.confirm hoặc modal)","[Bằng chứng](Evidences/GUI-ORDERS-IA04-05.png)"
"GUI-ORDERS-IA04-06","Quản lý Đơn hàng","IA-04","Phản hồi","Phản hồi thành công","Sau khi thay đổi trạng thái thành công, dòng trong bảng cập nhật trạng thái mới mà không cần tải lại trang","FR-24, heuristic","Badge trạng thái và các nút hành động khả dụng cập nhật ngay sau khi xác nhận","AI","Pass","Dòng đơn hàng cập nhật badge trạng thái mới trên giao diện không cần tải lại trang","",""
"GUI-ORDERS-IA04-07","Quản lý Đơn hàng","IA-04","Phản hồi","Phản hồi lỗi","Khi thay đổi trạng thái thất bại (ví dụ: chuyển trạng thái không hợp lệ bị API từ chối), thông báo lỗi rõ ràng được hiển thị","FR-24, heuristic","Thông báo lỗi hiển thị lý do (ví dụ: ""Không thể chuyển trạng thái""); không bị thất bại im lặng","AI","Fail","Báo lỗi API bằng window.alert thay vì banner UI","Khi thay đổi trạng thái thất bại, hệ thống hiển thị window.alert thay vì thông báo lỗi trên UI","[Bằng chứng](Evidences/GUI-ORDERS-IA04-07.png)"
